Event [id=3, msg=And one more event for John Smith, date=20.11.2019 15:19:24]
Event [id=4, msg=Some event for 2, date=20.11.2019 15:19:24]
Event [id=4, msg=Some event for 2, date=20.11.2019 15:19:24]
Event [id=5, msg=Some event for 3, date=20.11.2019 15:19:24]
Event [id=3, msg=And one more event for John Smith, date=20.11.2019 15:45:08]
Event [id=4, msg=Some event for 2, date=20.11.2019 15:45:08]
Event [id=4, msg=Some event for 2, date=20.11.2019 15:45:08]
Event [id=5, msg=Some event for 3, date=20.11.2019 15:45:08]
Event [id=7, msg=And one more event for John Smith, date=20.11.2019 16:02:33]
Event [id=8, msg=Some event for 2, date=20.11.2019 16:02:33]
Event [id=8, msg=Some event for 2, date=20.11.2019 16:02:33]
Event [id=9, msg=Some event for 3, date=20.11.2019 16:02:33]
